GRE Score,TOEFL Score,CGPA,Research,ML_Probability,SAW_Score,Rank
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.998991935483871,1.0,1.0,0.9996975806451613,2.0
0.9823529411764705,1.0,0.9949596774193548,1.0,1.0,0.994076138519924,3.0
0.9882352941176471,0.9916666666666667,0.9879032258064517,1.0,1.0,0.9917631246046806,4.0
0.9911764705882353,0.975,0.9949596774193548,1.0,1.0,0.9912820208728652,5.0
0.9941176470588236,1.0,0.9737903225806451,1.0,1.0,0.9906665085388995,6.0
1.0,1.0,0.9677419354838709,1.0,1.0,0.9903225806451612,7.0
0.9970588235294118,0.9666666666666667,0.9879032258064517,1.0,1.0,0.9889690069576218,8.0
0.9794117647058823,0.9916666666666667,0.9858870967741935,1.0,1.0,0.988952403542062,9.0
0.9852941176470589,0.975,0.9899193548387097,1.0,1.0,0.9882993358633776,10.0
1.0,1.0,0.9576612903225806,1.0,1.0,0.9872983870967742,11.0
0.9823529411764705,0.9916666666666667,0.9778225806451613,1.0,1.0,0.9872683428209994,12.0
0.9882352941176471,0.9916666666666667,0.969758064516129,1.0,1.0,0.9863195762175838,13.0
0.9911764705882353,0.9833333333333333,0.9727822580645161,1.0,1.0,0.9862954617330804,14.0
0.9970588235294118,0.95,0.9838709677419355,1.0,1.0,0.9844259962049335,15.0
1.0,0.9416666666666667,0.9818548387096775,1.0,1.0,0.9828897849462366,16.0
0.9823529411764705,0.9916666666666667,0.9616935483870966,1.0,1.0,0.98242963314358,17.0
0.9764705882352941,0.9833333333333333,0.9717741935483871,1.0,1.0,0.9823165717900063,18.0
0.9794117647058823,0.975,0.9737903225806451,1.0,1.0,0.9819900379506641,19.0
0.9882352941176471,0.9833333333333333,0.9606854838709676,1.0,1.0,0.9819311353573688,20.0
0.9705882352941176,1.0,0.9637096774193549,1.0,1.0,0.9817599620493358,21.0
0.9852941176470589,0.9583333333333334,0.9758064516129032,1.0,1.0,0.9807321315623023,22.0
0.9823529411764705,0.9916666666666667,0.9556451612903226,1.0,1.0,0.9806151170145478,23.0
0.9852941176470589,0.975,0.9637096774193549,1.0,1.0,0.9804364326375712,24.0
1.0,0.95,0.9677419354838709,1.0,1.0,0.9803225806451612,25.0
0.961764705882353,0.9833333333333333,0.9747983870967742,1.0,1.0,0.9795473592662871,26.0
0.9882352941176471,0.9333333333333333,0.9838709677419355,1.0,1.0,0.9788867805186591,27.0
1.0,0.9333333333333333,0.9737903225806451,1.0,1.0,0.9788037634408602,28.0
0.9852941176470589,0.9833333333333333,0.9516129032258064,1.0,1.0,0.9784740670461733,29.0
0.9941176470588236,0.975,0.9536290322580646,1.0,0.99,0.9781181214421253,30.0
1.0,0.9583333333333334,0.9526209677419354,1.0,1.0,0.9774529569892473,31.0
0.9823529411764705,0.9666666666666667,0.9616935483870966,1.0,1.0,0.97742963314358,32.0
0.9764705882352941,0.9833333333333333,0.9546370967741936,1.0,1.0,0.9771754427577483,33.0
0.9735294117647059,0.9333333333333333,0.9879032258064517,1.0,1.0,0.9764199873497786,34.0
0.9647058823529412,0.9666666666666667,0.9677419354838709,1.0,1.0,0.9748323845667299,35.0
0.9794117647058823,0.9833333333333333,0.9425403225806451,1.0,1.0,0.9742817046173308,36.0
0.9735294117647059,0.9916666666666667,0.9415322580645161,1.0,1.0,0.9741753636938647,37.0
0.9764705882352941,0.9833333333333333,0.9435483870967741,1.0,1.0,0.9738488298545225,38.0
0.9941176470588236,0.9833333333333333,0.9475806451612904,1.0,0.96,0.9734702719797597,39.0
0.9735294117647059,0.975,0.9495967741935484,1.0,1.0,0.9732613851992409,40.0
0.9735294117647059,0.9666666666666667,0.9516129032258064,1.0,1.0,0.9721995572422517,41.0
0.9764705882352941,0.9916666666666667,0.9314516129032259,1.0,1.0,0.9718864642631246,42.0
0.9647058823529412,0.9666666666666667,0.9576612903225806,1.0,1.0,0.9718081910183429,43.0
0.9705882352941176,0.9666666666666667,0.9526209677419354,1.0,1.0,0.9717666824794434,44.0
0.9882352941176471,0.9833333333333333,0.9264112903225806,1.0,1.0,0.9716488772928527,45.0
0.9823529411764705,0.95,0.9506048387096774,1.0,1.0,0.9707696869070208,46.0
0.95,0.925,0.9939516129032258,1.0,1.0,0.9706854838709678,47.0
0.9735294117647059,0.9583333333333334,0.9516129032258064,1.0,1.0,0.970532890575585,48.0
0.961764705882353,0.9666666666666667,0.9556451612903226,1.0,1.0,0.9704680581910183,49.0
0.9735294117647059,0.9666666666666667,0.9455645161290324,1.0,1.0,0.9703850411132195,50.0
0.9941176470588236,0.9583333333333334,0.9304435483870969,1.0,1.0,0.9693291429475016,51.0
0.9705882352941176,0.9666666666666667,0.9435483870967741,1.0,1.0,0.969044908285895,52.0
0.9735294117647059,0.9583333333333334,0.9435483870967741,1.0,1.0,0.9681135357368753,53.0
0.9764705882352941,0.9666666666666667,0.9354838709677419,1.0,1.0,0.9680961416824795,54.0
0.9676470588235294,0.9916666666666667,0.9233870967741936,1.0,1.0,0.9672612270714738,55.0
0.9735294117647059,0.9666666666666667,0.9334677419354839,1.0,1.0,0.966756008855155,56.0
0.9676470588235294,0.9416666666666667,0.9526209677419354,1.0,1.0,0.9660313883617964,57.0
1.0,0.9583333333333334,0.9133064516129032,1.0,1.0,0.9656586021505376,58.0
0.9705882352941176,0.9583333333333334,0.9415322580645161,1.0,0.99,0.9652734029095509,59.0
0.9705882352941176,0.9666666666666667,0.9304435483870969,1.0,1.0,0.9651134566729919,60.0
